"time","variable","value","Method","Seed"
960,"Babel_Dance-0",14803.66,"Babel_Dance","0"
780,"Babel_Dance-1",14803.87,"Babel_Dance","1"
840,"Babel_Dance-2",13629.9,"Babel_Dance","2"
720,"KRR_new-0",10236.58,"KRR_new","0"
780,"KRR_new-1",10213.77,"KRR_new","1"
840,"KRR_new-2",10214.34,"KRR_new","2"
60,"ScLinear-0",9582,"ScLinear","0"
60,"ScLinear-1",9580,"ScLinear","1"
60,"ScLinear-2",9581,"ScLinear","2"
180,"Vanilla_NN-0",10885.09,"Vanilla_NN","0"
180,"Vanilla_NN-1",10886.9,"Vanilla_NN","1"
180,"Vanilla_NN-2",10885.45,"Vanilla_NN","2"
