"time","variable","value","Method","Seed"
0,"ScLinear-0",3094,"ScLinear","0"
5,"ScLinear-0",11054,"ScLinear","0"
10,"ScLinear-0",9560,"ScLinear","0"
15,"ScLinear-0",9595,"ScLinear","0"
20,"ScLinear-0",9562,"ScLinear","0"
25,"ScLinear-0",9562,"ScLinear","0"
30,"ScLinear-0",9562,"ScLinear","0"
35,"ScLinear-0",9595,"ScLinear","0"
40,"ScLinear-0",9595,"ScLinear","0"
45,"ScLinear-0",9564,"ScLinear","0"
50,"ScLinear-0",13268,"ScLinear","0"
55,"ScLinear-0",9581,"ScLinear","0"
60,"ScLinear-0",9582,"ScLinear","0"
0,"ScLinear-1",3247,"ScLinear","1"
5,"ScLinear-1",11230,"ScLinear","1"
10,"ScLinear-1",9560,"ScLinear","1"
15,"ScLinear-1",9595,"ScLinear","1"
20,"ScLinear-1",9562,"ScLinear","1"
25,"ScLinear-1",9562,"ScLinear","1"
30,"ScLinear-1",9562,"ScLinear","1"
35,"ScLinear-1",9595,"ScLinear","1"
40,"ScLinear-1",9595,"ScLinear","1"
45,"ScLinear-1",9565,"ScLinear","1"
50,"ScLinear-1",13267,"ScLinear","1"
55,"ScLinear-1",9580,"ScLinear","1"
60,"ScLinear-1",9580,"ScLinear","1"
0,"ScLinear-2",3043,"ScLinear","2"
5,"ScLinear-2",11000,"ScLinear","2"
10,"ScLinear-2",9560,"ScLinear","2"
15,"ScLinear-2",9595,"ScLinear","2"
20,"ScLinear-2",9588,"ScLinear","2"
25,"ScLinear-2",9562,"ScLinear","2"
30,"ScLinear-2",9561,"ScLinear","2"
35,"ScLinear-2",9618,"ScLinear","2"
40,"ScLinear-2",9595,"ScLinear","2"
45,"ScLinear-2",9600,"ScLinear","2"
50,"ScLinear-2",13267,"ScLinear","2"
55,"ScLinear-2",9580,"ScLinear","2"
60,"ScLinear-2",9581,"ScLinear","2"
0,"Babel_Dance-0",13890.14,"Babel_Dance","0"
30,"Babel_Dance-0",14799.86,"Babel_Dance","0"
60,"Babel_Dance-0",14803.05,"Babel_Dance","0"
90,"Babel_Dance-0",14802.98,"Babel_Dance","0"
120,"Babel_Dance-0",14803.04,"Babel_Dance","0"
150,"Babel_Dance-0",14803.03,"Babel_Dance","0"
180,"Babel_Dance-0",14803.03,"Babel_Dance","0"
210,"Babel_Dance-0",14803.02,"Babel_Dance","0"
240,"Babel_Dance-0",14803.02,"Babel_Dance","0"
270,"Babel_Dance-0",14803.4,"Babel_Dance","0"
300,"Babel_Dance-0",14803.66,"Babel_Dance","0"
330,"Babel_Dance-0",14803.66,"Babel_Dance","0"
360,"Babel_Dance-0",14803.66,"Babel_Dance","0"
390,"Babel_Dance-0",14803.66,"Babel_Dance","0"
420,"Babel_Dance-0",14803.66,"Babel_Dance","0"
450,"Babel_Dance-0",14803.66,"Babel_Dance","0"
480,"Babel_Dance-0",14803.66,"Babel_Dance","0"
510,"Babel_Dance-0",14803.66,"Babel_Dance","0"
540,"Babel_Dance-0",14803.66,"Babel_Dance","0"
570,"Babel_Dance-0",14803.66,"Babel_Dance","0"
600,"Babel_Dance-0",14803.66,"Babel_Dance","0"
630,"Babel_Dance-0",14803.66,"Babel_Dance","0"
660,"Babel_Dance-0",14803.66,"Babel_Dance","0"
690,"Babel_Dance-0",14803.66,"Babel_Dance","0"
720,"Babel_Dance-0",14803.66,"Babel_Dance","0"
750,"Babel_Dance-0",14803.66,"Babel_Dance","0"
780,"Babel_Dance-0",14803.66,"Babel_Dance","0"
810,"Babel_Dance-0",14803.66,"Babel_Dance","0"
840,"Babel_Dance-0",14803.66,"Babel_Dance","0"
870,"Babel_Dance-0",14803.66,"Babel_Dance","0"
900,"Babel_Dance-0",14803.66,"Babel_Dance","0"
930,"Babel_Dance-0",14803.66,"Babel_Dance","0"
960,"Babel_Dance-0",14803.66,"Babel_Dance","0"
0,"Babel_Dance-1",13819.26,"Babel_Dance","1"
30,"Babel_Dance-1",14799.46,"Babel_Dance","1"
60,"Babel_Dance-1",14802.81,"Babel_Dance","1"
90,"Babel_Dance-1",14802.76,"Babel_Dance","1"
120,"Babel_Dance-1",14802.8,"Babel_Dance","1"
150,"Babel_Dance-1",14802.77,"Babel_Dance","1"
180,"Babel_Dance-1",14802.79,"Babel_Dance","1"
210,"Babel_Dance-1",14802.79,"Babel_Dance","1"
240,"Babel_Dance-1",14802.79,"Babel_Dance","1"
270,"Babel_Dance-1",14802.9,"Babel_Dance","1"
300,"Babel_Dance-1",14803.26,"Babel_Dance","1"
330,"Babel_Dance-1",14803.87,"Babel_Dance","1"
360,"Babel_Dance-1",14803.87,"Babel_Dance","1"
390,"Babel_Dance-1",14803.87,"Babel_Dance","1"
420,"Babel_Dance-1",14803.87,"Babel_Dance","1"
450,"Babel_Dance-1",14803.87,"Babel_Dance","1"
480,"Babel_Dance-1",14803.87,"Babel_Dance","1"
510,"Babel_Dance-1",14803.87,"Babel_Dance","1"
540,"Babel_Dance-1",14803.87,"Babel_Dance","1"
570,"Babel_Dance-1",14803.87,"Babel_Dance","1"
600,"Babel_Dance-1",14803.87,"Babel_Dance","1"
630,"Babel_Dance-1",14803.87,"Babel_Dance","1"
660,"Babel_Dance-1",14803.87,"Babel_Dance","1"
690,"Babel_Dance-1",14803.87,"Babel_Dance","1"
720,"Babel_Dance-1",14803.87,"Babel_Dance","1"
750,"Babel_Dance-1",14803.87,"Babel_Dance","1"
780,"Babel_Dance-1",14803.87,"Babel_Dance","1"
0,"Babel_Dance-2",13917.88,"Babel_Dance","2"
30,"Babel_Dance-2",14802.02,"Babel_Dance","2"
60,"Babel_Dance-2",14804.75,"Babel_Dance","2"
90,"Babel_Dance-2",14804.82,"Babel_Dance","2"
120,"Babel_Dance-2",14804.85,"Babel_Dance","2"
150,"Babel_Dance-2",14804.86,"Babel_Dance","2"
180,"Babel_Dance-2",14804.86,"Babel_Dance","2"
210,"Babel_Dance-2",14804.86,"Babel_Dance","2"
240,"Babel_Dance-2",14804.86,"Babel_Dance","2"
270,"Babel_Dance-2",14804.87,"Babel_Dance","2"
300,"Babel_Dance-2",14804.87,"Babel_Dance","2"
330,"Babel_Dance-2",14804.87,"Babel_Dance","2"
360,"Babel_Dance-2",14804.87,"Babel_Dance","2"
390,"Babel_Dance-2",14804.87,"Babel_Dance","2"
420,"Babel_Dance-2",14804.87,"Babel_Dance","2"
450,"Babel_Dance-2",14804.87,"Babel_Dance","2"
480,"Babel_Dance-2",14804.87,"Babel_Dance","2"
510,"Babel_Dance-2",14804.87,"Babel_Dance","2"
540,"Babel_Dance-2",14804.87,"Babel_Dance","2"
570,"Babel_Dance-2",14804.87,"Babel_Dance","2"
600,"Babel_Dance-2",14807.03,"Babel_Dance","2"
630,"Babel_Dance-2",14808.47,"Babel_Dance","2"
660,"Babel_Dance-2",14808.47,"Babel_Dance","2"
690,"Babel_Dance-2",14808.47,"Babel_Dance","2"
720,"Babel_Dance-2",14808.47,"Babel_Dance","2"
750,"Babel_Dance-2",14808.47,"Babel_Dance","2"
780,"Babel_Dance-2",14808.47,"Babel_Dance","2"
810,"Babel_Dance-2",14808.47,"Babel_Dance","2"
840,"Babel_Dance-2",13629.9,"Babel_Dance","2"
0,"Vanilla_NN-0",10774.06,"Vanilla_NN","0"
30,"Vanilla_NN-0",10879.98,"Vanilla_NN","0"
60,"Vanilla_NN-0",10885.27,"Vanilla_NN","0"
90,"Vanilla_NN-0",10881.37,"Vanilla_NN","0"
120,"Vanilla_NN-0",10880.52,"Vanilla_NN","0"
150,"Vanilla_NN-0",10883.78,"Vanilla_NN","0"
180,"Vanilla_NN-0",10885.09,"Vanilla_NN","0"
0,"Vanilla_NN-1",10772.29,"Vanilla_NN","1"
30,"Vanilla_NN-1",10882.43,"Vanilla_NN","1"
60,"Vanilla_NN-1",10883.79,"Vanilla_NN","1"
90,"Vanilla_NN-1",10885.21,"Vanilla_NN","1"
120,"Vanilla_NN-1",10883.14,"Vanilla_NN","1"
150,"Vanilla_NN-1",10886.69,"Vanilla_NN","1"
180,"Vanilla_NN-1",10886.9,"Vanilla_NN","1"
0,"Vanilla_NN-2",10776.49,"Vanilla_NN","2"
30,"Vanilla_NN-2",10882.34,"Vanilla_NN","2"
60,"Vanilla_NN-2",10887.35,"Vanilla_NN","2"
90,"Vanilla_NN-2",10889.26,"Vanilla_NN","2"
120,"Vanilla_NN-2",10887.13,"Vanilla_NN","2"
150,"Vanilla_NN-2",10893.3,"Vanilla_NN","2"
180,"Vanilla_NN-2",10885.45,"Vanilla_NN","2"
0,"KRR_new-0",9412.39,"KRR_new","0"
30,"KRR_new-0",10701.85,"KRR_new","0"
60,"KRR_new-0",16218.96,"KRR_new","0"
90,"KRR_new-0",15320.89,"KRR_new","0"
120,"KRR_new-0",19898.86,"KRR_new","0"
150,"KRR_new-0",20089.26,"KRR_new","0"
180,"KRR_new-0",15051.98,"KRR_new","0"
210,"KRR_new-0",15318.6,"KRR_new","0"
240,"KRR_new-0",18743.89,"KRR_new","0"
