"gene","train_test","tissue","Pearson","name"
"CCR3","LymphNode1","Lymph Node",0.444610389083371,""
"CCR3","LymphNode2","Lymph Node",0.453863951403655,""
"CCR3","Spleen1","Spleen",0.769936795228453,""
"CCR3","Spleen2","Spleen",0.777010130760652,""
"CD103","LymphNode1","Lymph Node",0.821618396338275,""
"CD103","LymphNode2","Lymph Node",0.811834646979954,""
"CD103","Spleen1","Spleen",0.737587293561108,""
"CD103","Spleen2","Spleen",0.730877153742729,""
"CD106","LymphNode1","Lymph Node",0.376108835663776,""
"CD106","LymphNode2","Lymph Node",0.342998969871636,""
"CD106","Spleen1","Spleen",0.640692601897718,""
"CD106","Spleen2","Spleen",0.613608841097727,""
"CD107a","LymphNode1","Lymph Node",0.556386397224042,""
"CD107a","LymphNode2","Lymph Node",0.593577073953507,""
"CD107a","Spleen1","Spleen",0.657661594439412,""
"CD107a","Spleen2","Spleen",0.653617036300612,""
"CD115","LymphNode1","Lymph Node",0.73151938221466,""
"CD115","LymphNode2","Lymph Node",0.742462164138288,""
"CD115","Spleen1","Spleen",0.933323630404492,""
"CD115","Spleen2","Spleen",0.926935486992844,""
"CD11a","LymphNode1","Lymph Node",0.823266537829505,""
"CD11a","LymphNode2","Lymph Node",0.823134751059048,""
"CD11a","Spleen1","Spleen",0.902897470138002,""
"CD11a","Spleen2","Spleen",0.908826871493468,""
"CD11b","LymphNode1","Lymph Node",0.852564963606709,""
"CD11b","LymphNode2","Lymph Node",0.893554605612997,""
"CD11b","Spleen1","Spleen",0.944623004151798,""
"CD11b","Spleen2","Spleen",0.946240905327041,""
"CD11c","LymphNode1","Lymph Node",0.755617900347213,""
"CD11c","LymphNode2","Lymph Node",0.744602499334609,""
"CD11c","Spleen1","Spleen",0.911211970651297,""
"CD11c","Spleen2","Spleen",0.898028674338279,""
"CD120b","LymphNode1","Lymph Node",0.711971537815883,""
"CD120b","LymphNode2","Lymph Node",0.741105763391891,""
"CD120b","Spleen1","Spleen",0.853020679624817,""
"CD120b","Spleen2","Spleen",0.836894275315891,""
"CD127","LymphNode1","Lymph Node",0.863877828201319,""
"CD127","LymphNode2","Lymph Node",0.862856017556599,""
"CD127","Spleen1","Spleen",0.886355138631843,""
"CD127","Spleen2","Spleen",0.882210721742136,""
"CD134","LymphNode1","Lymph Node",0.609330077726321,""
"CD134","LymphNode2","Lymph Node",0.615889913521664,""
"CD134","Spleen1","Spleen",0.607083960995324,""
"CD134","Spleen2","Spleen",0.614206942854779,""
"CD137","LymphNode1","Lymph Node",0.377965846042454,""
"CD137","LymphNode2","Lymph Node",0.378059338209968,""
"CD137","Spleen1","Spleen",0.59181617598813,""
"CD137","Spleen2","Spleen",0.559310328041349,""
"CD138","LymphNode1","Lymph Node",0.509075765692843,""
"CD138","LymphNode2","Lymph Node",0.533610073696828,""
"CD138","Spleen1","Spleen",0.439558349612529,""
"CD138","Spleen2","Spleen",0.426889912720304,""
"CD150","LymphNode1","Lymph Node",0.792528476595449,""
"CD150","LymphNode2","Lymph Node",0.792620865163721,""
"CD150","Spleen1","Spleen",0.71776329856937,""
"CD150","Spleen2","Spleen",0.726265989913664,""
"CD155","LymphNode1","Lymph Node",0.742047763948189,""
"CD155","LymphNode2","Lymph Node",0.753520590761051,""
"CD155","Spleen1","Spleen",0.748033142210953,""
"CD155","Spleen2","Spleen",0.724249921012612,""
"CD160","LymphNode1","Lymph Node",0.370438392908139,""
"CD160","LymphNode2","Lymph Node",0.401727682884095,""
"CD160","Spleen1","Spleen",0.594810204958527,""
"CD160","Spleen2","Spleen",0.569309132872452,""
"CD161","LymphNode1","Lymph Node",0.741783068692181,""
"CD161","LymphNode2","Lymph Node",0.723422960578292,""
"CD161","Spleen1","Spleen",0.929975529997945,""
"CD161","Spleen2","Spleen",0.93029540533292,""
"CD163","LymphNode1","Lymph Node",0.204258346828469,""
"CD163","LymphNode2","Lymph Node",0.214918076613363,""
"CD163","Spleen1","Spleen",0.320859336464659,""
"CD163","Spleen2","Spleen",0.229092140540131,""
"CD169","LymphNode1","Lymph Node",0.483020662891233,""
"CD169","LymphNode2","Lymph Node",0.51185635208289,""
